# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: SEAGenerator - Drift Stream: SEAGenerator - alpha: 0.0 - position: 250000 - width: 1000 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_SEA Generator_SEA ' 'Generator_1000_1000_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
28790,0.791958,0.815000,0.462517,0.485000,7.920898,26.081055
28990,0.792118,0.815000,0.462292,0.430000,7.920898,28.334961
29190,0.792379,0.830000,0.462862,0.545000,7.920898,28.002930
29390,0.792637,0.830000,0.463288,0.525000,7.920898,25.893555
29590,0.792653,0.795000,0.462789,0.390000,7.920898,26.877930
29790,0.793041,0.850000,0.462095,0.360000,7.920898,24.674805
29990,0.793188,0.815000,0.461711,0.405000,7.920898,25.565430
30190,0.793033,0.770000,0.461667,0.455000,7.920898,25.096680
30390,0.792781,0.755000,0.463013,0.665000,7.920898,22.643555
30590,0.793158,0.850000,0.463125,0.480000,7.920898,25.166992
30790,0.793431,0.835000,0.463889,0.580000,7.920898,25.557617
30990,0.793831,0.855000,0.463539,0.410000,7.920898,26.385742
31190,0.794258,0.860000,0.464065,0.545000,7.920898,27.518555
31390,0.794615,0.850000,0.463718,0.410000,7.920898,25.526367
31590,0.795000,0.855000,0.462771,0.315000,7.920898,26.229492
31790,0.795316,0.845000,0.462563,0.430000,7.920898,26.100586
31990,0.795597,0.840000,0.462358,0.430000,7.920898,27.182617
32190,0.795656,0.805000,0.462625,0.505000,7.920898,23.627930
32390,0.795745,0.810000,0.462391,0.425000,7.920898,27.823242
32590,0.795463,0.750000,0.462191,0.430000,7.920898,26.229492
32790,0.795706,0.835000,0.462055,0.440000,7.920898,25.096680
32990,0.795976,0.840000,0.461524,0.375000,7.920898,26.690430
33190,0.796606,0.900000,0.461212,0.410000,7.920898,25.557617
33390,0.796898,0.845000,0.460934,0.415000,7.920898,25.682617
33590,0.797036,0.820000,0.460838,0.445000,7.920898,28.639648
33790,0.797411,0.860000,0.461131,0.510000,7.920898,27.823242
33990,0.797278,0.775000,0.461450,0.515000,7.920898,27.213867
34190,0.797441,0.825000,0.461235,0.425000,7.920898,27.518555
34390,0.797749,0.850000,0.461784,0.555000,7.920898,24.120117
34590,0.797936,0.830000,0.461948,0.490000,7.920898,28.096680
34790,0.798208,0.845000,0.461994,0.470000,7.920898,26.424805
34990,0.798477,0.845000,0.462845,0.610000,7.920898,21.655273
35190,0.798886,0.870000,0.462514,0.405000,7.920898,25.893555
35390,0.799318,0.875000,0.463153,0.575000,7.920898,26.018555
35590,0.799576,0.845000,0.462768,0.395000,7.920898,25.588867
35790,0.799860,0.850000,0.463202,0.540000,7.920898,27.026367
35990,0.800084,0.840000,0.464246,0.650000,7.920898,25.776367
36190,0.800556,0.885000,0.464250,0.465000,7.920898,25.588867
36390,0.800718,0.830000,0.464309,0.475000,7.920898,27.182617
36590,0.800879,0.830000,0.464643,0.525000,7.920898,23.627930
36790,0.800874,0.800000,0.464508,0.440000,7.920898,25.850586
36990,0.801141,0.850000,0.464348,0.435000,7.920898,26.877930
37190,0.801297,0.830000,0.464432,0.480000,7.920898,27.518555
37390,0.801452,0.830000,0.465376,0.640000,7.920898,25.053711
37590,0.801471,0.805000,0.465053,0.405000,7.920898,25.096680
37790,0.801702,0.845000,0.464495,0.360000,7.920898,26.385742
