# TEST CONFIGURATION BEGIN
# RandomRBFGeneratorDrift(change_speed=0.0001, model_random_state=None, n_centroids=50, n_classes=2, n_features=10, num_drift_centroids=50, sample_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rbf_im_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
8590,0.576429,0.625000,0.567262,0.500000,0.492024,0.700000,0.482143,0.380000,0.437143,0.290000,14.483398,28.161133,76.825195,86.422852,101.075195
8790,0.577093,0.605000,0.568605,0.625000,0.495698,0.650000,0.481628,0.460000,0.434302,0.315000,14.483398,31.329102,78.875977,107.860352,123.153320
8990,0.578977,0.660000,0.564773,0.400000,0.496136,0.515000,0.479432,0.385000,0.432273,0.345000,14.483398,32.809570,70.559570,94.274414,104.266602
9190,0.580333,0.640000,0.564778,0.565000,0.494333,0.415000,0.477889,0.410000,0.430444,0.350000,14.483398,26.430664,82.008789,90.969727,113.657227
9390,0.582174,0.665000,0.567283,0.680000,0.492391,0.405000,0.476739,0.425000,0.428043,0.320000,14.483398,31.458008,77.715820,92.778320,109.985352
9590,0.583936,0.665000,0.570426,0.715000,0.496064,0.665000,0.478191,0.545000,0.426809,0.370000,14.483398,34.524414,76.825195,111.536133,122.223633
9790,0.585208,0.645000,0.573333,0.710000,0.500208,0.695000,0.478333,0.485000,0.428333,0.500000,14.483398,21.450195,76.407227,105.141602,112.969727
9990,0.586327,0.640000,0.570918,0.455000,0.502653,0.620000,0.480408,0.580000,0.431122,0.565000,14.483398,29.000977,78.532227,101.961914,136.727539
10190,0.588500,0.695000,0.567900,0.420000,0.501000,0.420000,0.484700,0.695000,0.432600,0.505000,14.483398,30.032227,75.829102,94.540039,123.676758
10390,0.589510,0.640000,0.566961,0.520000,0.504118,0.660000,0.488333,0.670000,0.435784,0.595000,14.483398,35.668945,79.114258,92.239258,125.829102
10590,0.590288,0.630000,0.565385,0.485000,0.507981,0.705000,0.492692,0.715000,0.440385,0.675000,14.483398,35.399414,71.356445,108.954102,130.641602
10790,0.592264,0.695000,0.565283,0.560000,0.512075,0.725000,0.496981,0.720000,0.443491,0.605000,14.483398,33.895508,79.430664,103.958008,150.918945
10990,0.594537,0.715000,0.561481,0.360000,0.515370,0.690000,0.500741,0.700000,0.445648,0.560000,14.483398,26.969727,79.051758,99.465820,151.579102
11190,0.596909,0.725000,0.556818,0.305000,0.512091,0.335000,0.504273,0.695000,0.448545,0.605000,14.483398,29.364258,79.192383,106.094727,173.032227
11390,0.598750,0.700000,0.558661,0.660000,0.509196,0.350000,0.507054,0.660000,0.451786,0.630000,14.483398,34.774414,77.926758,98.282227,154.961914
11590,0.601316,0.745000,0.557632,0.500000,0.505175,0.280000,0.510877,0.725000,0.456579,0.725000,14.483398,35.512695,77.016602,96.192383,158.543945
11790,0.603103,0.705000,0.553707,0.330000,0.502155,0.330000,0.513621,0.670000,0.460086,0.660000,14.483398,29.168945,72.610352,104.942383,152.805664
11990,0.605339,0.735000,0.555932,0.685000,0.498814,0.305000,0.516780,0.700000,0.464153,0.700000,14.483398,32.454102,84.172852,102.918945,136.614258
12190,0.607333,0.725000,0.556000,0.560000,0.497167,0.400000,0.519917,0.705000,0.468083,0.700000,14.483398,29.661133,87.895508,107.403320,160.122070
12390,0.607869,0.640000,0.557623,0.655000,0.499508,0.640000,0.522131,0.655000,0.470082,0.590000,14.483398,33.399414,79.758789,107.344727,137.145508
12590,0.609435,0.705000,0.559516,0.675000,0.502016,0.655000,0.524597,0.675000,0.470887,0.520000,14.483398,31.063477,72.368164,122.235352,128.961914
12790,0.610397,0.670000,0.558175,0.475000,0.504286,0.645000,0.527540,0.710000,0.469365,0.375000,14.483398,25.786133,81.176758,98.075195,125.430664
12990,0.611094,0.655000,0.554219,0.305000,0.503516,0.455000,0.529687,0.665000,0.466875,0.310000,14.483398,26.680664,89.708008,96.536133,117.208008
13190,0.611462,0.635000,0.549385,0.240000,0.500923,0.335000,0.532769,0.730000,0.463385,0.240000,14.483398,27.875977,76.805664,102.055664,119.102539
13390,0.612500,0.680000,0.545758,0.310000,0.498106,0.315000,0.535152,0.690000,0.462045,0.375000,14.483398,28.024414,90.180664,115.348633,167.473633
13590,0.612985,0.645000,0.542313,0.315000,0.495373,0.315000,0.537388,0.685000,0.460522,0.360000,14.483398,32.040039,75.235352,110.180664,151.473633
13790,0.614191,0.695000,0.539265,0.335000,0.493015,0.335000,0.539118,0.655000,0.459265,0.375000,14.483398,29.485352,77.446289,96.969727,133.887695
13990,0.614493,0.635000,0.536449,0.345000,0.491014,0.355000,0.540652,0.645000,0.458043,0.375000,14.483398,27.633789,75.415039,107.700195,145.965820
14190,0.614286,0.600000,0.533286,0.315000,0.488714,0.330000,0.542786,0.690000,0.456214,0.330000,14.483398,29.637695,80.766602,100.836914,152.805664
14390,0.614507,0.630000,0.530141,0.310000,0.486197,0.310000,0.544577,0.670000,0.454296,0.320000,14.483398,26.665039,70.036133,111.411133,138.258789
14590,0.615347,0.675000,0.527153,0.315000,0.484653,0.375000,0.546319,0.670000,0.452292,0.310000,14.483398,31.344727,69.918945,102.329102,170.305664
14790,0.615548,0.630000,0.525205,0.385000,0.483288,0.385000,0.547192,0.610000,0.451575,0.400000,14.483398,24.360352,54.774414,107.059570,147.274414
14990,0.615608,0.620000,0.522770,0.345000,0.481419,0.345000,0.548649,0.655000,0.451284,0.430000,14.483398,32.118164,56.165039,107.606445,151.614258
15190,0.616933,0.715000,0.518667,0.215000,0.477867,0.215000,0.550600,0.695000,0.449533,0.320000,14.483398,28.625977,55.290039,91.508789,136.844727
15390,0.617368,0.650000,0.514803,0.225000,0.474539,0.225000,0.547434,0.310000,0.450329,0.510000,14.483398,33.875977,68.235352,87.055664,154.864258
15590,0.617727,0.645000,0.512792,0.360000,0.473052,0.360000,0.545584,0.405000,0.449610,0.395000,14.483398,27.149414,62.356445,100.227539,159.973633
15790,0.617692,0.615000,0.510449,0.330000,0.471090,0.320000,0.543013,0.345000,0.449423,0.435000,14.483398,33.680664,62.723633,97.211914,160.981445
15990,0.617722,0.620000,0.508101,0.325000,0.469304,0.330000,0.540253,0.325000,0.447911,0.330000,14.483398,27.118164,60.329102,81.547852,156.719727
16190,0.617687,0.615000,0.505812,0.325000,0.467500,0.325000,0.537563,0.325000,0.446500,0.335000,14.483398,32.864258,66.532227,90.485352,159.864258
16390,0.618457,0.680000,0.502963,0.275000,0.465123,0.275000,0.534815,0.315000,0.444506,0.285000,14.483398,26.469727,67.594727,92.086914,164.754883
16590,0.618293,0.605000,0.500976,0.340000,0.463537,0.335000,0.532744,0.365000,0.443415,0.355000,14.483398,27.329102,60.520508,83.250977,133.118164
16790,0.618012,0.595000,0.499398,0.370000,0.462289,0.360000,0.531145,0.400000,0.442831,0.395000,14.483398,29.059570,64.954102,104.383789,144.415039
16990,0.617679,0.590000,0.497440,0.335000,0.460774,0.335000,0.529048,0.355000,0.442143,0.385000,14.483398,31.422852,63.442383,104.293945,144.114258
17190,0.618176,0.660000,0.495000,0.290000,0.458765,0.290000,0.526412,0.305000,0.440765,0.325000,14.483398,30.465820,69.969727,97.665039,121.676758
17390,0.618314,0.630000,0.492442,0.275000,0.456628,0.275000,0.523837,0.305000,0.440116,0.385000,14.483398,29.915039,69.793945,106.739258,145.809570
17590,0.618391,0.625000,0.490402,0.315000,0.454885,0.305000,0.522644,0.420000,0.439310,0.370000,14.483398,31.106445,73.309570,109.493164,147.559570
17790,0.618011,0.585000,0.488239,0.300000,0.453125,0.300000,0.523977,0.640000,0.437955,0.320000,14.483398,30.180664,77.887695,103.938477,139.844727
17990,0.617921,0.610000,0.486404,0.325000,0.451685,0.325000,0.525730,0.680000,0.436685,0.325000,14.483398,28.911133,75.305664,97.032227,139.129883
18190,0.617778,0.605000,0.484389,0.305000,0.450111,0.310000,0.526889,0.630000,0.435167,0.300000,14.483398,31.700195,73.036133,106.684570,162.547852
18390,0.617363,0.580000,0.482802,0.340000,0.448901,0.340000,0.527582,0.590000,0.434176,0.345000,14.483398,34.094727,77.309570,105.579102,164.790039
18590,0.616739,0.560000,0.480652,0.285000,0.447120,0.285000,0.529239,0.680000,0.432663,0.295000,14.483398,25.301758,72.211914,95.512695,147.262695
18790,0.616882,0.630000,0.479677,0.390000,0.446183,0.360000,0.530323,0.630000,0.432366,0.405000,14.483398,24.235352,70.270508,100.293945,148.836914
18990,0.617021,0.630000,0.479043,0.420000,0.444787,0.315000,0.530160,0.515000,0.432447,0.440000,14.483398,30.145508,78.075195,91.649414,132.485352
19190,0.616368,0.555000,0.478947,0.470000,0.443421,0.315000,0.530053,0.520000,0.433053,0.490000,14.483398,28.305664,68.235352,90.942383,141.926758
19390,0.616094,0.590000,0.479583,0.540000,0.441927,0.300000,0.527865,0.320000,0.433437,0.470000,14.483398,33.692383,68.239258,109.446289,149.594727
19590,0.615309,0.540000,0.479485,0.470000,0.441134,0.365000,0.525722,0.320000,0.433969,0.485000,14.483398,34.543945,72.958008,114.793945,129.758789
19790,0.615051,0.590000,0.479490,0.480000,0.439796,0.310000,0.523827,0.340000,0.433214,0.360000,14.483398,31.094727,77.997070,110.125977,121.997070
19990,0.614899,0.600000,0.478232,0.355000,0.437980,0.260000,0.521364,0.280000,0.431768,0.290000,14.483398,36.176758,71.668945,106.383789,133.129883
20190,0.614400,0.565000,0.476300,0.285000,0.436450,0.285000,0.519000,0.285000,0.433400,0.595000,14.483398,32.497070,68.247070,100.856445,151.813477
20390,0.614257,0.600000,0.474554,0.300000,0.435050,0.295000,0.516832,0.300000,0.435446,0.640000,14.483398,31.946289,69.274414,94.965820,140.176758
20590,0.613284,0.515000,0.473480,0.365000,0.434314,0.360000,0.515343,0.365000,0.436814,0.575000,14.483398,29.961914,68.981445,84.708008,121.512695
20790,0.613107,0.595000,0.472524,0.375000,0.433592,0.360000,0.513835,0.360000,0.438058,0.565000,14.483398,29.231445,72.239258,104.598633,129.075195
20990,0.612933,0.595000,0.470865,0.300000,0.432308,0.300000,0.511731,0.295000,0.438269,0.460000,14.483398,31.645508,78.125977,96.614258,140.231445
21190,0.612619,0.580000,0.469190,0.295000,0.431048,0.300000,0.509714,0.300000,0.437619,0.370000,14.483398,32.305664,72.915039,91.731445,140.872070
21390,0.612123,0.560000,0.467925,0.335000,0.430000,0.320000,0.507925,0.320000,0.436557,0.325000,14.483398,31.528320,78.426758,105.180664,150.676758
21590,0.612430,0.645000,0.466542,0.320000,0.428972,0.320000,0.506215,0.325000,0.435794,0.355000,14.483398,30.899414,75.754883,95.438477,131.661133
21790,0.612176,0.585000,0.467037,0.520000,0.427685,0.290000,0.504259,0.295000,0.434769,0.325000,14.483398,29.024414,72.375977,89.360352,122.340820
21990,0.611835,0.575000,0.468945,0.675000,0.426835,0.335000,0.502890,0.355000,0.434495,0.405000,14.483398,28.340820,71.715820,105.922852,140.239258
22190,0.611500,0.575000,0.471091,0.705000,0.425636,0.295000,0.502000,0.405000,0.433318,0.305000,14.483398,28.520508,56.469727,99.348633,118.661133
22390,0.611261,0.585000,0.473018,0.685000,0.424640,0.315000,0.501892,0.490000,0.433243,0.425000,14.483398,30.586914,75.571289,113.012695,149.942383
22590,0.610938,0.575000,0.474911,0.685000,0.423661,0.315000,0.500536,0.350000,0.433214,0.430000,14.483398,28.012695,66.641602,102.032227,141.754883
22790,0.611150,0.635000,0.476903,0.700000,0.422566,0.300000,0.498805,0.305000,0.432124,0.310000,14.483398,32.059570,61.520508,95.161133,117.469727
22990,0.610833,0.575000,0.478289,0.635000,0.422105,0.370000,0.498289,0.440000,0.431579,0.370000,14.483398,31.360352,68.250977,98.672852,125.012695
23190,0.610087,0.525000,0.480087,0.685000,0.421174,0.315000,0.497435,0.400000,0.431348,0.405000,14.483398,27.766602,70.700195,95.231445,145.157227
23390,0.610172,0.620000,0.481853,0.685000,0.420216,0.310000,0.495991,0.330000,0.431034,0.395000,14.483398,25.387695,75.579102,105.629883,148.891602
23590,0.610171,0.610000,0.483761,0.705000,0.419017,0.280000,0.494402,0.310000,0.429786,0.285000,14.483398,28.547852,65.165039,93.313477,141.743164
23790,0.610169,0.610000,0.485042,0.635000,0.418559,0.365000,0.493305,0.365000,0.429237,0.365000,14.483398,27.711914,68.715820,107.137695,133.676758
23990,0.610042,0.595000,0.486555,0.665000,0.417857,0.335000,0.492017,0.340000,0.428445,0.335000,14.483398,24.645508,70.645508,105.247070,144.579102
24190,0.610125,0.620000,0.488750,0.750000,0.416458,0.250000,0.490208,0.275000,0.427000,0.255000,14.483398,24.762695,66.954102,111.333008,133.762695
24390,0.609959,0.590000,0.489298,0.555000,0.415950,0.355000,0.489421,0.395000,0.426405,0.355000,14.483398,26.958008,62.852539,116.692383,138.352539
24590,0.610287,0.650000,0.488320,0.370000,0.415205,0.325000,0.488156,0.335000,0.425574,0.325000,14.483398,33.637695,72.036133,118.004883,159.653320
24790,0.610041,0.580000,0.489350,0.615000,0.414553,0.335000,0.486911,0.335000,0.424837,0.335000,14.483398,31.864258,73.516602,101.422852,149.520508
