# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=2, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff9bf738b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_a_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
22790,0.806504,0.870000,0.461726,0.390000,7.920898,27.518555
22990,0.806842,0.845000,0.461886,0.480000,7.920898,26.385742
23190,0.807174,0.845000,0.461522,0.420000,7.920898,27.213867
23390,0.807112,0.800000,0.462069,0.525000,7.920898,25.588867
23590,0.807650,0.870000,0.461496,0.395000,7.920898,26.229492
23790,0.807585,0.800000,0.461822,0.500000,7.920898,28.159180
23990,0.807815,0.835000,0.461933,0.475000,7.920898,29.627930
24190,0.808167,0.850000,0.462458,0.525000,7.920898,28.159180
24390,0.808678,0.870000,0.463347,0.570000,7.920898,26.678711
24590,0.808975,0.845000,0.462951,0.415000,7.920898,27.823242
24790,0.809350,0.855000,0.462480,0.405000,7.920898,26.385742
24990,0.809556,0.835000,0.461935,0.395000,7.920898,27.823242
25190,0.809520,0.805000,0.461880,0.455000,7.920898,27.631836
25390,0.809921,0.860000,0.462341,0.520000,7.920898,28.159180
25590,0.810118,0.835000,0.461969,0.415000,7.920898,27.182617
25790,0.810273,0.830000,0.462461,0.525000,7.920898,26.229492
25990,0.810465,0.835000,0.461705,0.365000,7.920898,25.870117
26190,0.810846,0.860000,0.462308,0.540000,7.920898,27.170898
26390,0.810954,0.825000,0.461985,0.420000,7.920898,25.870117
26590,0.811136,0.835000,0.462045,0.470000,7.920898,27.475586
26790,0.811353,0.840000,0.462895,0.575000,7.920898,27.213867
26990,0.811567,0.840000,0.463246,0.510000,7.920898,29.932617
27190,0.811889,0.855000,0.463630,0.515000,7.920898,24.245117
27390,0.812390,0.880000,0.463824,0.490000,7.920898,26.081055
27590,0.812847,0.875000,0.463686,0.445000,7.920898,26.081055
27790,0.813152,0.855000,0.463406,0.425000,7.920898,25.885742
27990,0.813345,0.840000,0.463381,0.460000,7.920898,25.588867
28190,0.813286,0.805000,0.462929,0.400000,7.920898,27.518555
28390,0.813227,0.805000,0.462234,0.365000,7.920898,28.975586
28590,0.813451,0.845000,0.462359,0.480000,7.920898,27.026367
28790,0.813566,0.830000,0.462517,0.485000,7.920898,26.081055
28990,0.813507,0.805000,0.462292,0.430000,7.920898,28.334961
29190,0.813690,0.840000,0.462862,0.545000,7.920898,28.002930
29390,0.813801,0.830000,0.463288,0.525000,7.920898,25.893555
29590,0.813810,0.815000,0.462789,0.390000,7.920898,26.877930
29790,0.814155,0.865000,0.462095,0.360000,7.920898,24.674805
29990,0.814128,0.810000,0.461711,0.405000,7.920898,25.565430
30190,0.814067,0.805000,0.461667,0.455000,7.920898,25.096680
30390,0.813907,0.790000,0.463013,0.665000,7.920898,22.643555
30590,0.814178,0.855000,0.463125,0.480000,7.920898,25.166992
30790,0.814248,0.825000,0.463889,0.580000,7.920898,25.557617
30990,0.814448,0.845000,0.463539,0.410000,7.920898,26.385742
31190,0.814839,0.875000,0.464065,0.545000,7.920898,27.518555
31390,0.815064,0.850000,0.463718,0.410000,7.920898,25.526367
31590,0.815382,0.865000,0.462771,0.315000,7.920898,26.229492
31790,0.815506,0.835000,0.462563,0.430000,7.920898,26.100586
31990,0.815943,0.885000,0.462358,0.430000,7.920898,27.182617
32190,0.816031,0.830000,0.462625,0.505000,7.920898,23.627930
32390,0.816025,0.815000,0.462391,0.425000,7.920898,27.823242
32590,0.815802,0.780000,0.462191,0.430000,7.920898,26.229492
32790,0.815859,0.825000,0.462055,0.440000,7.920898,25.096680
32990,0.816067,0.850000,0.461524,0.375000,7.920898,26.690430
33190,0.816636,0.910000,0.461212,0.410000,7.920898,25.557617
33390,0.816777,0.840000,0.460934,0.415000,7.920898,25.682617
33590,0.817036,0.860000,0.460838,0.445000,7.920898,28.639648
33790,0.817530,0.900000,0.461131,0.510000,7.920898,27.823242
33990,0.817515,0.815000,0.461450,0.515000,7.920898,27.213867
34190,0.817794,0.865000,0.461235,0.425000,7.920898,27.518555
34390,0.818041,0.860000,0.461784,0.555000,7.920898,24.120117
34590,0.818081,0.825000,0.461948,0.490000,7.920898,28.096680
34790,0.818035,0.810000,0.461994,0.470000,7.920898,26.424805
34990,0.818218,0.850000,0.462845,0.610000,7.920898,21.655273
35190,0.818543,0.875000,0.462514,0.405000,7.920898,25.893555
35390,0.818892,0.880000,0.463153,0.575000,7.920898,26.018555
35590,0.819011,0.840000,0.462768,0.395000,7.920898,25.588867
35790,0.819213,0.855000,0.463202,0.540000,7.920898,27.026367
35990,0.819330,0.840000,0.464246,0.650000,7.920898,25.776367
36190,0.819667,0.880000,0.464250,0.465000,7.920898,25.588867
36390,0.819890,0.860000,0.464309,0.475000,7.920898,27.182617
36590,0.819918,0.825000,0.464643,0.525000,7.920898,23.627930
36790,0.820000,0.835000,0.464508,0.440000,7.920898,25.850586
36990,0.820190,0.855000,0.464348,0.435000,7.920898,26.877930
37190,0.820216,0.825000,0.464432,0.480000,7.920898,27.518555
37390,0.820511,0.875000,0.465376,0.640000,7.920898,25.053711
37590,0.820615,0.840000,0.465053,0.405000,7.920898,25.096680
37790,0.820904,0.875000,0.464495,0.360000,7.920898,26.385742
37990,0.821243,0.885000,0.464206,0.410000,7.920898,25.588867
38190,0.821605,0.890000,0.464658,0.550000,7.920898,26.354492
38390,0.821754,0.850000,0.465681,0.660000,7.920898,27.518555
38590,0.821901,0.850000,0.465938,0.515000,7.920898,26.877930
38790,0.822098,0.860000,0.465622,0.405000,7.920898,27.842773
38990,0.822294,0.860000,0.465619,0.465000,7.920898,27.026367
39190,0.822615,0.885000,0.465282,0.400000,7.920898,25.588867
39390,0.822806,0.860000,0.465051,0.420000,7.920898,26.385742
39590,0.822893,0.840000,0.464848,0.425000,7.920898,25.252930
39790,0.823081,0.860000,0.464975,0.490000,7.920898,28.303711
39990,0.823216,0.850000,0.464824,0.435000,7.920898,27.475586
40190,0.823150,0.810000,0.464700,0.440000,7.920898,24.456055
40390,0.823259,0.845000,0.464776,0.480000,7.920898,27.264648
40590,0.823366,0.845000,0.464827,0.475000,7.920898,23.963867
40790,0.823547,0.860000,0.464778,0.455000,7.920898,27.182617
40990,0.823603,0.835000,0.465000,0.510000,7.920898,25.893555
41190,0.823585,0.820000,0.465634,0.595000,7.920898,26.385742
