# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Mixed Generator_Mixed ' 'Generator_1000_1000_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
24190,0.607208,0.505000,0.809917,0.795000,8.858398,27.190430
24390,0.607521,0.645000,0.810207,0.845000,8.858398,27.252930
24590,0.608852,0.770000,0.810328,0.825000,8.858398,25.471680
24790,0.610854,0.855000,0.810366,0.815000,8.858398,26.393555
24990,0.612500,0.815000,0.810524,0.830000,8.858398,26.299805
25190,0.611600,0.500000,0.810680,0.830000,8.858398,25.440430
25390,0.612262,0.695000,0.811151,0.870000,8.858398,26.909180
25590,0.613701,0.795000,0.812008,0.920000,8.858398,25.932617
25790,0.615547,0.850000,0.812266,0.845000,8.858398,26.456055
25990,0.617209,0.830000,0.812752,0.875000,8.858398,28.854492
26190,0.616500,0.525000,0.812692,0.805000,8.858398,26.276367
26390,0.616908,0.670000,0.812557,0.795000,8.858398,26.604492
26590,0.618258,0.795000,0.812538,0.810000,8.858398,27.190430
26790,0.619962,0.845000,0.812519,0.810000,8.858398,28.229492
26990,0.621791,0.865000,0.812537,0.815000,8.858398,27.557617
27190,0.621185,0.540000,0.812185,0.765000,8.858398,27.284180
27390,0.621875,0.715000,0.812316,0.830000,8.858398,26.655273
27590,0.622336,0.685000,0.812883,0.890000,8.858398,27.252930
27790,0.623514,0.785000,0.812391,0.745000,8.858398,26.108398
27990,0.625144,0.850000,0.812194,0.785000,8.858398,25.627930
28190,0.624786,0.575000,0.812179,0.810000,8.858398,27.682617
28390,0.625993,0.795000,0.812553,0.865000,8.858398,29.381836
28590,0.627535,0.845000,0.812817,0.850000,8.858398,27.831055
28790,0.629126,0.855000,0.812762,0.805000,8.858398,28.038086
28990,0.630451,0.820000,0.812674,0.800000,8.858398,26.760742
29190,0.630034,0.570000,0.812724,0.820000,8.858398,27.588867
29390,0.630582,0.710000,0.812808,0.825000,8.858398,27.252930
29590,0.631939,0.830000,0.813027,0.845000,8.858398,27.346680
29790,0.633649,0.885000,0.812770,0.775000,8.858398,28.198242
