# TEST CONFIGURATION BEGIN
# RandomRBFGeneratorDrift(change_speed=0.001, model_random_state=None, n_centroids=50, n_classes=2, n_features=10, num_drift_centroids=50, sample_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rbf_if_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
10390,0.578137,0.595000,0.473137,0.500000,0.400882,0.345000,0.435588,0.685000,0.370686,0.330000,14.483398,29.708008,72.086914,95.329102,147.969727
10590,0.578173,0.580000,0.472692,0.450000,0.401154,0.415000,0.438846,0.605000,0.370288,0.350000,14.483398,32.375977,71.856445,106.430664,142.907227
10790,0.578302,0.585000,0.471509,0.410000,0.401698,0.430000,0.440943,0.550000,0.371132,0.415000,14.483398,31.426758,75.708008,86.461914,130.223633
10990,0.579259,0.630000,0.469352,0.355000,0.402593,0.450000,0.443056,0.555000,0.370926,0.360000,14.483398,31.836914,74.684570,90.114258,130.567383
11190,0.580818,0.665000,0.469636,0.485000,0.401636,0.350000,0.443091,0.445000,0.372727,0.470000,14.483398,27.973633,79.532227,93.301758,154.946289
11390,0.581964,0.645000,0.473036,0.660000,0.400625,0.345000,0.445804,0.595000,0.374107,0.450000,14.483398,28.516602,90.485352,96.809570,150.188477
11590,0.582632,0.620000,0.475526,0.615000,0.404035,0.595000,0.448509,0.600000,0.374561,0.400000,14.483398,26.598633,75.637695,106.868164,138.430664
11790,0.583879,0.655000,0.479138,0.685000,0.408879,0.685000,0.452845,0.700000,0.373534,0.315000,14.483398,26.700195,70.883789,98.708008,148.583008
11990,0.585593,0.685000,0.482288,0.665000,0.413390,0.675000,0.456695,0.680000,0.372712,0.325000,14.483398,31.770508,78.879883,106.665039,147.000977
12190,0.586500,0.640000,0.484917,0.640000,0.417500,0.660000,0.460083,0.660000,0.372667,0.370000,14.483398,27.958008,77.235352,99.086914,154.278320
12390,0.587049,0.620000,0.483525,0.400000,0.419918,0.565000,0.459016,0.395000,0.371066,0.275000,14.483398,29.993164,83.040039,91.989258,148.293945
12590,0.587661,0.625000,0.483629,0.490000,0.420161,0.435000,0.460403,0.545000,0.371129,0.375000,14.483398,29.305664,81.458008,97.059570,147.458008
12790,0.588810,0.660000,0.484048,0.510000,0.421746,0.520000,0.459762,0.420000,0.370952,0.360000,14.483398,23.004883,63.770508,94.317383,135.665039
12990,0.588750,0.585000,0.483828,0.470000,0.420156,0.320000,0.457578,0.320000,0.370469,0.340000,14.483398,26.286133,65.473633,120.329102,150.684570
13190,0.589077,0.610000,0.484538,0.530000,0.419385,0.370000,0.456154,0.365000,0.370308,0.360000,14.483398,32.637695,69.672852,104.125977,129.141602
13390,0.589848,0.640000,0.482652,0.360000,0.418561,0.365000,0.455758,0.430000,0.369621,0.325000,14.483398,28.704102,55.891602,87.180664,126.243164
13590,0.592463,0.765000,0.480522,0.340000,0.417239,0.330000,0.454851,0.395000,0.369104,0.335000,14.483398,27.778320,68.696289,90.758789,150.368164
13790,0.594118,0.705000,0.479926,0.440000,0.416765,0.385000,0.453824,0.385000,0.368971,0.360000,14.483398,29.934570,68.399414,95.290039,128.223633
13990,0.596014,0.725000,0.479203,0.430000,0.416304,0.385000,0.452536,0.365000,0.368913,0.365000,14.483398,23.708008,79.266602,99.887695,139.383789
14190,0.596786,0.650000,0.480071,0.540000,0.416214,0.410000,0.451429,0.375000,0.369071,0.380000,14.483398,30.086914,77.329102,106.282227,139.282227
14390,0.598380,0.710000,0.481690,0.595000,0.418873,0.605000,0.451690,0.470000,0.369014,0.365000,14.483398,32.875977,76.106445,111.606445,132.790039
14590,0.600486,0.750000,0.484236,0.665000,0.422014,0.645000,0.453681,0.595000,0.368194,0.310000,14.483398,28.352539,82.508789,108.786133,138.938477
14790,0.601712,0.690000,0.484521,0.505000,0.424863,0.630000,0.455890,0.615000,0.368151,0.365000,14.483398,36.254883,87.778320,115.583008,132.864258
14990,0.602703,0.675000,0.486081,0.600000,0.428041,0.660000,0.459122,0.695000,0.367838,0.345000,14.483398,34.055664,83.633789,105.954102,142.079102
15190,0.604200,0.715000,0.486067,0.485000,0.431267,0.670000,0.461533,0.640000,0.367467,0.340000,14.483398,35.524414,81.243164,108.071289,150.680664
15390,0.605395,0.695000,0.487368,0.585000,0.434211,0.655000,0.464342,0.675000,0.367039,0.335000,14.483398,26.536133,72.372070,108.508789,137.790039
15590,0.606234,0.670000,0.485455,0.340000,0.437792,0.710000,0.467338,0.695000,0.366299,0.310000,14.483398,26.934570,72.606445,88.723633,165.610352
15790,0.606282,0.610000,0.484551,0.415000,0.440449,0.645000,0.468397,0.550000,0.366154,0.355000,14.483398,22.192383,79.915039,108.157227,135.661133
15990,0.606076,0.590000,0.483418,0.395000,0.442152,0.575000,0.469177,0.530000,0.366519,0.395000,14.483398,30.489258,75.317383,96.594727,127.676758
16190,0.605313,0.545000,0.482187,0.385000,0.441312,0.375000,0.470375,0.565000,0.366563,0.370000,14.483398,33.040039,86.758789,103.110352,133.985352
16390,0.605062,0.585000,0.481728,0.445000,0.440370,0.365000,0.469074,0.365000,0.366235,0.340000,14.483398,32.493164,76.102539,103.450195,154.110352
16590,0.604146,0.530000,0.482073,0.510000,0.439268,0.350000,0.467683,0.355000,0.365915,0.340000,14.483398,32.122070,79.641602,102.297852,144.989258
16790,0.604337,0.620000,0.480783,0.375000,0.438133,0.345000,0.466145,0.340000,0.365783,0.355000,14.483398,28.094727,79.711914,94.856445,149.711914
16990,0.603155,0.505000,0.480655,0.470000,0.437024,0.345000,0.464702,0.345000,0.365536,0.345000,14.483398,30.680664,88.700195,92.875977,145.809570
17190,0.602235,0.525000,0.481647,0.565000,0.436059,0.355000,0.463647,0.375000,0.365059,0.325000,14.483398,20.008789,89.594727,106.473633,131.602539
17390,0.602674,0.640000,0.481977,0.510000,0.435407,0.380000,0.463372,0.440000,0.364709,0.335000,14.483398,36.301758,86.055664,102.043945,131.973633
17590,0.602471,0.585000,0.480632,0.365000,0.434425,0.350000,0.463793,0.500000,0.364425,0.340000,14.483398,29.352539,79.672852,100.403320,140.012695
17790,0.602784,0.630000,0.479773,0.405000,0.435625,0.540000,0.462955,0.390000,0.364091,0.335000,14.483398,30.805664,77.192383,101.653320,141.247070
17990,0.603034,0.625000,0.480562,0.550000,0.437528,0.605000,0.462079,0.385000,0.363764,0.335000,14.483398,28.454102,80.879883,96.762695,120.458008
18190,0.603722,0.665000,0.480667,0.490000,0.438222,0.500000,0.463278,0.570000,0.364167,0.400000,14.483398,29.583008,71.942383,116.305664,147.211914
18390,0.604451,0.670000,0.479231,0.350000,0.438516,0.465000,0.463297,0.465000,0.366264,0.555000,14.483398,34.704102,79.895508,109.895508,151.196289
18590,0.604946,0.650000,0.477989,0.365000,0.438261,0.415000,0.461957,0.340000,0.368098,0.535000,14.483398,33.950195,73.110352,108.446289,132.684570
18790,0.605645,0.670000,0.476613,0.350000,0.438548,0.465000,0.460860,0.360000,0.367742,0.335000,14.483398,33.286133,81.895508,119.551758,140.356445
18990,0.606596,0.695000,0.474894,0.315000,0.438351,0.420000,0.459521,0.335000,0.367234,0.320000,14.483398,33.286133,81.575195,117.915039,154.809570
19190,0.607158,0.660000,0.473263,0.320000,0.437947,0.400000,0.458000,0.315000,0.367000,0.345000,14.483398,40.918945,87.551758,124.821289,156.430664
19390,0.607812,0.670000,0.471510,0.305000,0.437083,0.355000,0.456406,0.305000,0.366354,0.305000,14.483398,36.344727,87.032227,116.379883,144.274414
19590,0.607835,0.610000,0.471392,0.460000,0.437320,0.460000,0.455309,0.350000,0.366031,0.335000,14.483398,26.036133,75.383789,114.211914,142.102539
19790,0.608061,0.630000,0.473622,0.690000,0.438214,0.525000,0.454082,0.335000,0.365459,0.310000,14.483398,29.965820,78.477539,106.668945,151.356445
19990,0.607778,0.580000,0.475354,0.645000,0.438788,0.495000,0.453535,0.400000,0.365354,0.355000,14.483398,28.911133,83.352539,91.375977,138.196289
20190,0.607300,0.560000,0.477500,0.690000,0.438950,0.455000,0.452350,0.335000,0.364850,0.315000,14.483398,31.403320,78.864258,99.551758,151.899414
20390,0.606881,0.565000,0.477970,0.525000,0.438515,0.395000,0.450792,0.295000,0.363960,0.275000,14.483398,27.676758,73.743164,81.969727,141.864258
20590,0.605049,0.420000,0.478431,0.525000,0.438186,0.405000,0.450245,0.395000,0.364314,0.400000,14.483398,36.680664,73.875977,104.208008,133.489258
20790,0.603592,0.455000,0.480243,0.665000,0.437476,0.365000,0.448883,0.310000,0.363835,0.315000,14.483398,27.489258,81.688477,105.098633,140.168945
20990,0.602163,0.455000,0.482356,0.700000,0.436587,0.345000,0.448942,0.455000,0.363654,0.345000,14.483398,31.063477,79.602539,106.106445,147.946289
21190,0.601000,0.480000,0.484429,0.700000,0.438762,0.665000,0.451381,0.705000,0.363190,0.315000,14.483398,32.165039,81.754883,114.004883,146.543945
21390,0.599434,0.435000,0.485660,0.615000,0.438679,0.430000,0.451934,0.510000,0.363255,0.370000,14.483398,31.704102,90.090820,99.403320,146.063477
21590,0.598505,0.500000,0.485234,0.440000,0.438505,0.420000,0.451402,0.395000,0.363364,0.375000,14.483398,38.719727,79.598633,99.711914,151.243164
21790,0.597083,0.445000,0.484676,0.425000,0.438704,0.460000,0.451620,0.475000,0.363704,0.400000,14.483398,35.993164,76.102539,97.329102,157.743164
21990,0.596239,0.505000,0.484128,0.425000,0.438440,0.410000,0.451009,0.385000,0.363853,0.380000,14.483398,30.758789,82.458008,102.051758,151.993164
22190,0.595955,0.565000,0.484318,0.505000,0.439273,0.530000,0.450591,0.405000,0.364227,0.405000,14.483398,33.219727,85.524414,108.543945,143.645508
22390,0.596486,0.655000,0.483964,0.445000,0.440000,0.520000,0.449324,0.310000,0.363423,0.275000,14.483398,31.680664,74.293945,91.637695,139.551758
22590,0.596652,0.615000,0.482723,0.345000,0.441696,0.630000,0.448393,0.345000,0.363080,0.325000,14.483398,29.254883,93.129883,88.348633,139.598633
22790,0.596239,0.550000,0.481372,0.330000,0.440885,0.350000,0.447257,0.320000,0.362699,0.320000,14.483398,31.840820,92.645508,86.524414,132.040039
22990,0.596404,0.615000,0.480088,0.335000,0.440175,0.360000,0.446272,0.335000,0.362456,0.335000,14.483398,28.477539,78.852539,79.833008,131.293945
23190,0.595826,0.530000,0.479000,0.355000,0.439391,0.350000,0.445261,0.330000,0.362261,0.340000,14.483398,28.602539,92.625977,98.629883,143.989258
23390,0.595345,0.540000,0.478147,0.380000,0.438621,0.350000,0.444526,0.360000,0.362198,0.355000,14.483398,34.118164,86.856445,91.676758,142.262695
23590,0.594915,0.545000,0.477051,0.350000,0.437821,0.345000,0.443632,0.340000,0.362009,0.340000,14.483398,30.122070,87.372070,80.559570,138.993164
23790,0.594661,0.565000,0.475932,0.345000,0.437203,0.365000,0.442754,0.340000,0.361822,0.340000,14.483398,29.997070,86.075195,102.868164,145.954102
23990,0.593992,0.515000,0.474832,0.345000,0.436345,0.335000,0.441975,0.350000,0.361681,0.345000,14.483398,33.348633,81.676758,89.024414,143.024414
24190,0.593125,0.490000,0.473708,0.340000,0.436000,0.395000,0.441083,0.335000,0.361458,0.335000,14.483398,29.219727,83.293945,100.825195,151.672852
24390,0.592479,0.515000,0.472190,0.290000,0.434835,0.295000,0.439835,0.290000,0.360868,0.290000,14.483398,31.036133,87.180664,91.059570,145.645508
24590,0.592008,0.535000,0.471311,0.365000,0.434303,0.370000,0.439262,0.370000,0.360943,0.370000,14.483398,26.270508,81.211914,88.172852,134.094727
