# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Mixed Generator_Mixed ' 'Generator_1000_1_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
9790,0.526146,0.630000,0.734479,0.720000,0.752708,0.760000,0.692604,0.715000,0.617292,0.770000,8.858398,21.071289,48.235352,66.254883,89.493164
9990,0.528980,0.665000,0.735816,0.800000,0.752653,0.750000,0.694592,0.790000,0.620816,0.790000,8.858398,22.208008,41.692383,67.133789,96.922852
10190,0.526700,0.415000,0.734400,0.665000,0.748900,0.565000,0.693000,0.615000,0.616700,0.415000,8.858398,28.645508,47.282227,58.637695,72.243164
10390,0.526078,0.495000,0.733922,0.710000,0.748529,0.730000,0.692941,0.690000,0.612059,0.380000,8.858398,20.540039,47.848633,54.176758,73.102539
10590,0.527212,0.585000,0.734712,0.775000,0.747692,0.705000,0.693654,0.730000,0.609327,0.470000,8.858398,22.399414,53.356445,56.649414,76.086914
10790,0.528868,0.615000,0.733868,0.690000,0.746981,0.710000,0.693962,0.710000,0.606792,0.475000,8.858398,22.899414,52.860352,51.309570,80.129883
10990,0.531759,0.685000,0.735093,0.800000,0.746204,0.705000,0.695556,0.780000,0.611296,0.850000,8.858398,16.813477,56.282227,57.110352,91.290039
11190,0.529273,0.395000,0.735455,0.755000,0.741182,0.470000,0.693455,0.580000,0.606273,0.335000,8.858398,20.883789,48.243164,59.700195,80.883789
11390,0.528393,0.480000,0.737143,0.830000,0.742679,0.825000,0.694821,0.770000,0.599375,0.220000,8.858398,23.172852,46.743164,69.133789,84.415039
11590,0.530439,0.645000,0.737632,0.765000,0.745614,0.910000,0.695614,0.740000,0.597368,0.485000,8.858398,21.583008,53.735352,64.004883,76.461914
11790,0.532500,0.650000,0.738103,0.765000,0.748017,0.885000,0.694138,0.610000,0.596810,0.565000,8.858398,19.602539,53.282227,58.278320,71.383789
11990,0.535254,0.695000,0.738305,0.750000,0.749237,0.820000,0.693644,0.665000,0.599746,0.770000,8.858398,19.196289,48.461914,54.149414,72.895508
12190,0.533083,0.405000,0.737750,0.705000,0.746333,0.575000,0.691583,0.570000,0.596333,0.395000,8.858398,20.465820,47.532227,68.067383,74.219727
12390,0.532705,0.510000,0.738033,0.755000,0.746721,0.770000,0.692213,0.730000,0.594836,0.505000,8.858398,19.977539,46.040039,60.840820,74.176758
12590,0.534194,0.625000,0.736694,0.655000,0.747097,0.770000,0.694194,0.815000,0.594597,0.580000,8.858398,23.227539,40.891602,59.899414,73.590820
12790,0.536270,0.665000,0.736587,0.730000,0.747937,0.800000,0.695397,0.770000,0.596825,0.735000,8.858398,20.133789,43.614258,58.274414,72.055664
12990,0.538359,0.670000,0.737656,0.805000,0.748828,0.805000,0.696953,0.795000,0.599766,0.785000,8.858398,21.704102,42.403320,62.149414,77.938477
13190,0.536308,0.405000,0.736692,0.675000,0.746308,0.585000,0.693846,0.495000,0.597231,0.435000,8.858398,17.993164,36.844727,63.727539,84.875977
13390,0.535530,0.485000,0.737727,0.805000,0.745227,0.675000,0.691061,0.510000,0.594470,0.415000,8.858398,21.450195,43.344727,65.887695,85.407227
13590,0.537015,0.635000,0.737388,0.715000,0.745149,0.740000,0.690373,0.645000,0.595522,0.665000,8.858398,23.672852,44.329102,64.489258,80.274414
13790,0.539412,0.700000,0.738235,0.795000,0.743382,0.625000,0.688309,0.550000,0.596471,0.660000,8.858398,20.133789,41.852539,60.590820,70.872070
13990,0.541522,0.685000,0.737464,0.685000,0.743696,0.765000,0.687681,0.645000,0.597536,0.670000,8.858398,24.594727,45.258789,73.368164,70.528320
14190,0.539286,0.385000,0.736500,0.670000,0.741571,0.595000,0.685071,0.505000,0.595786,0.475000,8.858398,20.094727,50.305664,64.286133,72.208008
14390,0.538592,0.490000,0.737535,0.810000,0.741549,0.740000,0.685915,0.745000,0.595563,0.580000,8.858398,15.247070,48.532227,54.348633,70.083008
14590,0.538403,0.525000,0.739097,0.850000,0.742431,0.805000,0.687361,0.790000,0.595972,0.625000,8.858398,25.571289,45.352539,62.192383,81.551758
14790,0.539726,0.635000,0.739795,0.790000,0.742877,0.775000,0.688082,0.740000,0.597603,0.715000,8.858398,18.375977,37.239258,56.204102,82.625977
14990,0.541757,0.690000,0.739595,0.725000,0.742297,0.700000,0.688243,0.700000,0.599662,0.750000,8.858398,20.793945,49.821289,60.633789,83.133789
15190,0.539400,0.365000,0.740533,0.810000,0.740667,0.620000,0.685333,0.470000,0.595467,0.285000,8.858398,16.208008,47.715820,58.922852,74.012695
15390,0.538882,0.500000,0.740724,0.755000,0.740724,0.745000,0.685263,0.680000,0.595592,0.605000,8.858398,23.008789,48.297852,60.344727,71.106445
15590,0.540844,0.690000,0.741818,0.825000,0.739870,0.675000,0.684870,0.655000,0.597013,0.705000,8.858398,17.297852,47.895508,60.333008,73.645508
15790,0.542500,0.670000,0.741667,0.730000,0.738910,0.665000,0.684167,0.630000,0.598526,0.715000,8.858398,21.571289,49.805664,61.868164,80.618164
15990,0.545443,0.775000,0.740823,0.675000,0.738228,0.685000,0.683101,0.600000,0.600886,0.785000,8.858398,20.774414,46.254883,51.868164,77.110352
16190,0.543125,0.360000,0.741250,0.775000,0.735437,0.515000,0.681562,0.560000,0.598625,0.420000,8.858398,19.954102,42.157227,60.797852,77.891602
16390,0.542160,0.465000,0.742222,0.820000,0.733395,0.570000,0.683333,0.825000,0.596420,0.420000,8.858398,22.293945,46.243164,62.231445,83.860352
16590,0.542073,0.535000,0.741524,0.685000,0.731951,0.615000,0.685122,0.830000,0.594634,0.450000,8.858398,24.883789,43.770508,60.704102,83.473633
16790,0.542470,0.575000,0.741386,0.730000,0.728735,0.465000,0.684699,0.650000,0.593494,0.500000,8.858398,22.961914,38.122070,60.825195,79.063477
16990,0.543750,0.650000,0.742024,0.795000,0.726905,0.575000,0.684107,0.635000,0.595060,0.725000,8.858398,25.075195,44.250977,48.239258,85.340820
17190,0.541765,0.375000,0.741706,0.715000,0.725118,0.575000,0.681294,0.445000,0.594765,0.570000,8.858398,24.133789,48.372070,61.899414,80.614258
17390,0.541860,0.550000,0.742558,0.815000,0.726163,0.815000,0.680930,0.650000,0.594593,0.580000,8.858398,20.356445,47.817383,68.250977,87.825195
17590,0.542414,0.590000,0.742989,0.780000,0.726207,0.730000,0.680862,0.675000,0.593966,0.540000,8.858398,19.833008,53.344727,61.750977,83.750977
17790,0.544659,0.740000,0.743352,0.775000,0.725455,0.660000,0.680227,0.625000,0.594659,0.655000,8.858398,23.872070,54.118164,58.293945,70.825195
17990,0.547022,0.755000,0.742978,0.710000,0.725506,0.730000,0.680281,0.685000,0.596573,0.765000,8.858398,23.348633,56.758789,55.442383,74.817383
18190,0.545611,0.420000,0.742833,0.730000,0.723500,0.545000,0.676778,0.365000,0.593389,0.310000,8.858398,19.395508,49.102539,62.731445,83.676758
18390,0.545275,0.515000,0.743077,0.765000,0.723132,0.690000,0.676703,0.670000,0.593077,0.565000,8.858398,19.125977,48.704102,53.500977,68.075195
18590,0.544565,0.480000,0.743859,0.815000,0.721630,0.585000,0.676141,0.625000,0.593533,0.635000,8.858398,19.176758,52.051758,55.063477,75.481445
18790,0.544892,0.575000,0.743656,0.725000,0.720269,0.595000,0.675108,0.580000,0.593925,0.630000,8.858398,18.270508,54.266602,64.606445,75.407227
18990,0.545798,0.630000,0.743298,0.710000,0.718351,0.540000,0.675000,0.665000,0.594096,0.610000,8.858398,25.547852,51.848633,63.547852,69.043945
19190,0.545000,0.470000,0.743316,0.745000,0.716947,0.585000,0.673211,0.505000,0.591421,0.340000,8.858398,20.336914,50.340820,50.122070,75.125977
19390,0.545052,0.550000,0.744010,0.810000,0.717292,0.750000,0.674427,0.790000,0.589948,0.450000,8.858398,22.715820,46.926758,50.661133,85.411133
19590,0.546443,0.680000,0.744639,0.805000,0.716701,0.660000,0.675464,0.775000,0.590361,0.630000,8.858398,24.903320,45.239258,46.079102,71.262695
19790,0.548724,0.770000,0.744337,0.715000,0.715561,0.605000,0.675255,0.655000,0.589286,0.485000,8.858398,24.907227,52.235352,49.555664,75.133789
19990,0.550859,0.760000,0.743939,0.705000,0.715556,0.715000,0.675707,0.720000,0.591010,0.760000,8.858398,25.856445,50.250977,47.098633,76.532227
20190,0.549500,0.415000,0.744200,0.770000,0.713450,0.505000,0.673400,0.445000,0.589900,0.480000,8.858398,17.231445,46.254883,53.411133,76.665039
20390,0.548416,0.440000,0.745000,0.825000,0.712822,0.650000,0.672772,0.610000,0.588614,0.460000,8.858398,22.625977,53.774414,49.446289,83.133789
