id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
6190,0.656000,0.855000,0.746500,0.785000,0.806167,0.820000,0.761167,0.710000,0.788000,0.795000,8.858398,24.043945,56.020508,63.661133,59.844727
6390,0.662903,0.870000,0.745484,0.715000,0.806452,0.815000,0.760323,0.735000,0.787742,0.780000,8.858398,24.618164,35.567383,55.567383,66.250977
6590,0.668594,0.845000,0.745469,0.745000,0.809531,0.905000,0.761875,0.810000,0.786094,0.735000,8.858398,18.434570,41.700195,61.684570,66.250977
6790,0.673485,0.830000,0.744545,0.715000,0.811061,0.860000,0.759848,0.695000,0.786667,0.805000,8.858398,21.297852,40.247070,57.200195,63.293945
6990,0.679559,0.880000,0.747794,0.855000,0.812794,0.870000,0.758971,0.730000,0.786912,0.795000,8.858398,23.973633,44.223633,56.727539,65.739258
7190,0.685571,0.890000,0.748429,0.770000,0.815571,0.910000,0.758286,0.735000,0.787286,0.800000,8.858398,20.012695,48.004883,50.250977,64.293945
7390,0.691250,0.890000,0.749861,0.800000,0.818611,0.925000,0.758333,0.760000,0.787361,0.790000,8.858398,22.137695,47.438477,53.192383,60.407227
7590,0.696081,0.870000,0.751757,0.820000,0.820946,0.905000,0.755135,0.640000,0.787703,0.800000,8.858398,21.926758,38.622070,59.672852,62.434570
7790,0.700263,0.855000,0.753158,0.805000,0.821842,0.855000,0.755000,0.750000,0.786974,0.760000,8.858398,22.606445,41.286133,54.305664,59.821289
7990,0.705000,0.885000,0.752308,0.720000,0.822949,0.865000,0.754615,0.740000,0.786538,0.770000,8.858398,20.723633,38.180664,59.157227,62.192383
8190,0.708625,0.850000,0.751500,0.720000,0.824125,0.870000,0.750750,0.600000,0.784750,0.715000,8.858398,24.801758,48.813477,61.290039,60.239258
8390,0.713659,0.915000,0.753902,0.850000,0.826463,0.920000,0.747805,0.630000,0.785122,0.800000,8.858398,26.852539,44.149414,55.340820,66.266602
8590,0.717262,0.865000,0.754048,0.760000,0.828333,0.905000,0.745714,0.660000,0.785595,0.805000,8.858398,19.782227,50.192383,61.165039,72.610352
8790,0.721512,0.900000,0.755465,0.815000,0.828837,0.850000,0.741977,0.585000,0.785000,0.760000,8.858398,22.282227,43.528320,55.649414,63.215820
8990,0.725455,0.895000,0.756136,0.785000,0.830341,0.895000,0.740114,0.660000,0.782159,0.660000,8.858398,21.895508,37.770508,63.583008,67.762695
9190,0.728556,0.865000,0.757000,0.795000,0.832000,0.905000,0.738889,0.685000,0.781222,0.740000,8.858398,21.540039,42.360352,52.153320,62.340820
9390,0.732174,0.895000,0.757609,0.785000,0.834022,0.925000,0.736957,0.650000,0.781196,0.780000,8.858398,20.536133,44.000977,59.711914,65.766602
9590,0.735319,0.880000,0.756702,0.715000,0.834574,0.860000,0.734681,0.630000,0.781702,0.805000,8.858398,23.465820,48.438477,60.262695,65.243164
