# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=1, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=50000)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_g_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
10990,0.842037,0.865000,0.473796,0.350000,7.920898,24.088867
11190,0.841909,0.835000,0.472727,0.415000,7.920898,26.385742
11390,0.841964,0.845000,0.474286,0.560000,7.920898,26.959961
11590,0.842193,0.855000,0.474123,0.465000,7.920898,26.081055
11790,0.842931,0.885000,0.473621,0.445000,7.920898,25.893555
11990,0.843305,0.865000,0.471695,0.360000,7.920898,24.760742
12190,0.843250,0.840000,0.471417,0.455000,7.920898,27.213867
12390,0.842623,0.805000,0.469918,0.380000,7.920898,25.588867
12590,0.843065,0.870000,0.468710,0.395000,7.920898,25.096680
12790,0.843651,0.880000,0.467540,0.395000,7.920898,26.721680
12990,0.843906,0.860000,0.466172,0.380000,7.920898,24.885742
13190,0.843923,0.845000,0.464385,0.350000,7.920898,26.706055
13390,0.843788,0.835000,0.464773,0.490000,7.920898,24.885742
13590,0.844104,0.865000,0.463881,0.405000,7.920898,27.518555
13790,0.844265,0.855000,0.463088,0.410000,7.920898,27.026367
13990,0.844638,0.870000,0.461957,0.385000,7.920898,24.979492
14190,0.844500,0.835000,0.461214,0.410000,7.920898,26.479492
14390,0.845000,0.880000,0.461549,0.485000,7.920898,28.159180
14590,0.845139,0.855000,0.462500,0.530000,7.920898,26.690430
14790,0.845479,0.870000,0.462603,0.470000,7.920898,26.815430
14990,0.845541,0.850000,0.462703,0.470000,7.920898,27.026367
15190,0.846200,0.895000,0.463267,0.505000,7.920898,27.987305
15390,0.845987,0.830000,0.462566,0.410000,7.920898,27.026367
15590,0.845974,0.845000,0.461558,0.385000,7.920898,26.229492
15790,0.846090,0.855000,0.460192,0.355000,7.920898,27.327148
15990,0.845696,0.815000,0.460316,0.470000,7.920898,25.893555
16190,0.846187,0.885000,0.460938,0.510000,7.920898,22.643555
