Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
1.0,3302.62,0.0,0.0,0.0,1.5544662637185267,1.7510114218128916,20,4,0
1.0,3295.6,0.0,0.0,0.0,1.5593187685196617,1.7024510388457703,20,4,0
1.0,3295.6,0.0,0.0,0.0,1.5593187685196617,1.6744057709060312,20,4,0
1.0,3295.6,0.0,0.0,0.0,1.558567267830722,1.7024510388457703,20,4,0
1.0,3295.6,0.0,0.0,0.0,1.558567267830722,1.6744057709060312,20,4,0
1.0,3307.3,0.0,0.0,0.0,1.8306549088711424,1.7728182129207304,20,4,0
1.0,3307.3,0.0,0.0,0.0,1.8306549088711424,1.8242591964035104,20,4,0
1.0,3307.3,0.0,0.0,0.0,1.9785425002464243,1.7728182129207304,20,4,0
1.0,3307.3,0.0,0.0,0.0,1.9785425002464243,1.8242591964035104,20,4,0
1.0,3300.28,0.0,0.0,0.0,2.4224507729348224,1.9773131830845052,20,4,0
1.0,3300.28,0.0,0.0,0.0,2.4224507729348224,2.0580128494233376,20,4,0
1.0,3300.28,0.0,0.0,0.0,2.662311818846469,1.9773131830845052,20,4,0
1.0,3300.28,0.0,0.0,0.0,2.662311818846469,2.0580128494233376,20,4,0
1.0,3299.494,0.0,0.0,0.0,2.9604882736984885,2.143194455080429,20,4,0
1.0,3289.74,0.0,0.0,0.0,3.076814813932399,2.126933475654244,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.1024629149525524,2.122722361855216,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.1024629149525524,2.1141226397201507,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.104232568057673,2.122722361855216,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.104232568057673,2.1141226397201507,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.2392155741386635,2.105522708913064,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.2392155741386635,2.0953229362084604,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.3020983390250462,2.105522708913064,20,4,0
1.0,3296.77,0.0,0.0,0.0,3.3020983390250462,2.0953229362084604,20,4,0
1.0,3296.7700000000004,0.0,0.0,0.0,3.3649996774989472,2.300748805011164,20,4,0
1.0,3296.7700000000004,0.0,0.0,0.0,3.3649996774989472,2.4070348911662705,20,4,0
1.0,3296.770000000001,0.0,0.0,0.0,3.3886304738433064,2.300748805011164,20,4,0
1.0,3294.42,0.0,0.0,0.0,3.299346744118844,2.214597924702008,20,4,0
1.0,3301.44,0.0,0.0,0.0,3.3237360161264906,2.22715733532474,20,4,0
1.0,3283.9,0.0,0.0,0.0,3.335810364981895,2.244533710526408,20,4,0
1.0,3306.52,0.0,0.0,0.0,3.3519094967891,2.2694021729127325,20,4,0
1.0,3295.6,0.0,0.0,0.0,3.361871728341911,2.302178065712666,20,4,0
