# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.001, n_drift_features=2, n_features=10, noise_percentage=0.1, random_state=None, sigma_percentage=0.1)
# [hat] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [rslvq] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [rrslvq] RSLVQ
# [adf] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingADWINClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5), n_estimators=10, random_state=None)
# [samknn] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='Hyperplane Generator_time_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
4790,0.839130,0.815000,0.762826,0.805000,0.797609,0.790000,0.756739,0.775000,0.773043,0.795000,0.791739,0.855000,0.863689,0.266632,1.130322,1.744485,0.120025,1.864510,5.080432,0.111046,5.191478,19.254754,1.523774,20.778528,3.597363,2.006722,5.604085,1.234235,0.385025,1.619260
4990,0.837083,0.790000,0.760625,0.710000,0.796667,0.775000,0.755833,0.735000,0.771250,0.730000,0.790000,0.750000,0.917637,0.277353,1.194990,1.815796,0.124952,1.940748,5.302677,0.115828,5.418504,20.143205,1.595494,21.738699,3.783165,2.111065,5.894231,1.272612,0.397272,1.669884
5190,0.836800,0.830000,0.761000,0.770000,0.798400,0.840000,0.756800,0.780000,0.772400,0.800000,0.791600,0.830000,0.964778,0.287937,1.252714,1.883593,0.129853,2.013446,5.516438,0.120511,5.636949,20.970836,1.665078,22.635915,3.938769,2.200049,6.138819,1.310551,0.408271,1.718822
5390,0.836346,0.825000,0.762500,0.800000,0.800192,0.845000,0.758462,0.800000,0.771154,0.740000,0.793077,0.830000,1.019230,0.299337,1.318567,1.963514,0.135103,2.098617,5.767866,0.125311,5.893178,21.928959,1.741773,23.670731,4.117329,2.301860,6.419189,1.352988,0.421975,1.774963
5590,0.836481,0.840000,0.764444,0.815000,0.804444,0.915000,0.760926,0.825000,0.774630,0.865000,0.796667,0.890000,1.070194,0.309141,1.379335,2.031568,0.140071,2.171639,5.982770,0.130014,6.112784,22.746268,1.813107,24.559375,4.273518,2.393237,6.666755,1.394845,0.434685,1.829531
5790,0.833393,0.750000,0.764464,0.765000,0.806786,0.870000,0.760536,0.750000,0.774107,0.760000,0.796429,0.790000,1.118657,0.319387,1.438044,2.102962,0.144999,2.247961,6.198544,0.134767,6.333310,23.631165,1.885969,25.517133,4.430779,2.478955,6.909734,1.443516,0.447692,1.891208
5990,0.831897,0.790000,0.762759,0.715000,0.805690,0.775000,0.761207,0.780000,0.773966,0.770000,0.798448,0.855000,1.171311,0.330320,1.501630,2.174897,0.150026,2.324923,6.402882,0.139581,6.542464,24.504303,1.958030,26.462332,4.584571,2.566044,7.150615,1.492769,0.463384,1.956153
6190,0.833667,0.885000,0.763667,0.790000,0.804500,0.770000,0.762833,0.810000,0.775000,0.805000,0.801667,0.895000,1.231303,0.341197,1.572500,2.244195,0.154995,2.399190,6.595069,0.144333,6.739402,25.310554,2.030484,27.341038,4.734141,2.652353,7.386494,1.547732,0.482351,2.030083
6390,0.832742,0.805000,0.763871,0.770000,0.804839,0.815000,0.763065,0.770000,0.775000,0.775000,0.801452,0.795000,1.283612,0.352124,1.635737,2.314831,0.160064,2.474896,6.795647,0.149041,6.944688,26.140176,2.105310,28.245486,4.894212,2.741846,7.636058,1.614191,0.504210,2.118401
6590,0.832656,0.830000,0.761875,0.700000,0.804531,0.795000,0.764219,0.800000,0.773281,0.720000,0.802813,0.845000,1.336240,0.363104,1.699343,2.385189,0.164989,2.550178,7.007610,0.153767,7.161377,27.008159,2.177139,29.185298,5.075558,2.829514,7.905072,1.694439,0.529157,2.223596
