id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
12999,0.253672,0.275000,0.452500,0.445000,0.579766,0.555000,0.138047,0.125000,0.150391,0.180000,129.233398,163.577148,2327.795898,22.476562,91.328125
13199,0.253923,0.270000,0.452846,0.475000,0.579538,0.565000,0.138538,0.170000,0.149538,0.095000,129.233398,163.913086,2345.190430,22.476562,93.582031
13399,0.253864,0.250000,0.452197,0.410000,0.579848,0.600000,0.138561,0.140000,0.149621,0.155000,129.233398,163.913086,2289.338867,22.476562,121.277344
13599,0.254328,0.285000,0.452164,0.450000,0.579627,0.565000,0.138582,0.140000,0.149254,0.125000,129.233398,163.272461,2208.252930,22.132812,88.945312
13799,0.254632,0.275000,0.451985,0.440000,0.580735,0.655000,0.138676,0.145000,0.149338,0.155000,129.233398,163.241211,2278.206055,22.476562,81.769531
13999,0.255435,0.310000,0.451739,0.435000,0.580580,0.570000,0.138768,0.145000,0.150000,0.195000,129.233398,162.569336,2218.104492,22.476562,107.839844
14199,0.256000,0.295000,0.450500,0.365000,0.581071,0.615000,0.139143,0.165000,0.150357,0.175000,129.233398,163.272461,2267.768555,22.476562,82.113281
14399,0.256479,0.290000,0.449930,0.410000,0.580775,0.560000,0.138592,0.100000,0.150775,0.180000,129.233398,163.913086,2264.538086,22.476562,83.863281
14599,0.256944,0.290000,0.449792,0.440000,0.580625,0.570000,0.138889,0.160000,0.150208,0.110000,129.233398,163.577148,2325.678711,22.476562,106.644531
14799,0.257397,0.290000,0.450205,0.480000,0.580548,0.575000,0.139521,0.185000,0.149726,0.115000,129.233398,163.577148,2395.620117,22.476562,77.496094
14999,0.257905,0.295000,0.450068,0.440000,0.580338,0.565000,0.139932,0.170000,0.149189,0.110000,126.733398,162.936523,2444.034180,22.476562,106.074219
15199,0.258333,0.290000,0.449067,0.375000,0.578867,0.470000,0.140000,0.145000,0.149000,0.135000,127.952148,163.577148,2446.463867,22.476562,73.359375
15399,0.258947,0.305000,0.448947,0.440000,0.578947,0.585000,0.140132,0.150000,0.149408,0.180000,129.233398,163.913086,2405.342773,22.476562,80.597656
15599,0.260130,0.350000,0.449675,0.505000,0.579286,0.605000,0.140000,0.130000,0.150000,0.195000,129.233398,163.577148,2406.436523,22.476562,106.851562
15799,0.260962,0.325000,0.449615,0.445000,0.579038,0.560000,0.140192,0.155000,0.150064,0.155000,128.420898,162.936523,2443.834961,22.476562,84.855469
15999,0.262215,0.360000,0.450000,0.480000,0.579367,0.605000,0.139747,0.105000,0.150253,0.165000,129.233398,163.241211,2391.155273,22.476562,93.996094
16199,0.262688,0.300000,0.450250,0.470000,0.579313,0.575000,0.139437,0.115000,0.151562,0.255000,129.233398,163.241211,2370.346680,21.695312,89.675781
16399,0.263519,0.330000,0.450494,0.470000,0.579753,0.615000,0.139506,0.145000,0.152099,0.195000,129.233398,163.577148,2399.706055,22.132812,90.003906
16599,0.263780,0.285000,0.450549,0.455000,0.579146,0.530000,0.139207,0.115000,0.152012,0.145000,129.233398,163.577148,2424.303711,22.476562,102.687500
16799,0.263976,0.280000,0.450783,0.470000,0.579157,0.580000,0.139518,0.165000,0.151928,0.145000,127.952148,163.577148,2493.874023,22.476562,81.398438
16999,0.265000,0.350000,0.450774,0.450000,0.578988,0.565000,0.139762,0.160000,0.152321,0.185000,128.108398,163.241211,2457.901367,22.476562,80.593750
17199,0.265824,0.335000,0.450353,0.415000,0.578706,0.555000,0.139412,0.110000,0.152118,0.135000,129.233398,163.577148,2473.647461,22.476562,72.964844
17399,0.266686,0.340000,0.450465,0.460000,0.578547,0.565000,0.139651,0.160000,0.152442,0.180000,129.233398,163.913086,2437.741211,22.476562,76.132812
17599,0.266609,0.260000,0.450057,0.415000,0.579253,0.640000,0.139713,0.145000,0.152701,0.175000,129.233398,162.264648,2463.647461,22.476562,108.078125
17799,0.267216,0.320000,0.450227,0.465000,0.579773,0.625000,0.139545,0.125000,0.152443,0.130000,129.233398,163.913086,2424.288086,22.132812,81.824219
17999,0.267921,0.330000,0.449719,0.405000,0.579101,0.520000,0.139270,0.115000,0.153146,0.215000,129.233398,163.913086,2373.081055,22.476562,102.457031
18199,0.268889,0.355000,0.449556,0.435000,0.579389,0.605000,0.139333,0.145000,0.153056,0.145000,129.233398,162.905273,2310.131836,22.476562,84.464844
18399,0.269725,0.345000,0.449725,0.465000,0.579505,0.590000,0.139121,0.120000,0.153626,0.205000,129.233398,163.577148,2255.459961,22.476562,101.414062
18599,0.270761,0.365000,0.449946,0.470000,0.579565,0.585000,0.139185,0.145000,0.153750,0.165000,129.233398,163.913086,2349.358398,22.476562,90.277344
18799,0.271344,0.325000,0.449516,0.410000,0.579140,0.540000,0.139462,0.165000,0.153656,0.145000,129.233398,163.577148,2335.420898,22.476562,84.777344
18999,0.271809,0.315000,0.449309,0.430000,0.578989,0.565000,0.139255,0.120000,0.153564,0.145000,129.233398,163.913086,2308.620117,22.476562,68.316406
19199,0.272895,0.375000,0.449105,0.430000,0.578579,0.540000,0.139053,0.120000,0.153000,0.100000,129.233398,162.936523,2322.889648,22.476562,84.527344
19399,0.273490,0.330000,0.450104,0.545000,0.578177,0.540000,0.139167,0.150000,0.153021,0.155000,129.233398,163.913086,2373.452148,22.476562,81.972656
19599,0.274124,0.335000,0.450258,0.465000,0.578608,0.620000,0.138969,0.120000,0.153299,0.180000,129.233398,163.913086,2386.178711,22.476562,95.820312
19799,0.274490,0.310000,0.450510,0.475000,0.578724,0.590000,0.138929,0.135000,0.153673,0.190000,129.233398,163.577148,2343.147461,22.476562,108.140625
19999,0.274949,0.320000,0.450455,0.445000,0.578687,0.575000,0.139040,0.150000,0.154242,0.210000,129.233398,162.600586,2353.155273,22.476562,88.152344
20199,0.276200,0.400000,0.450700,0.475000,0.578600,0.570000,0.139350,0.170000,0.154300,0.160000,129.233398,163.913086,2376.065430,22.476562,98.746094
20399,0.276634,0.320000,0.450693,0.450000,0.579010,0.620000,0.139307,0.135000,0.154257,0.150000,129.233398,163.577148,2430.913086,22.476562,83.441406
20599,0.277402,0.355000,0.451078,0.490000,0.578922,0.570000,0.139608,0.170000,0.154363,0.165000,129.233398,163.577148,2381.342773,22.476562,97.035156
20799,0.278010,0.340000,0.451019,0.445000,0.578204,0.505000,0.139612,0.140000,0.154660,0.185000,129.233398,163.241211,2366.112305,22.476562,98.000000
20999,0.278558,0.335000,0.451635,0.515000,0.577933,0.550000,0.139423,0.120000,0.155385,0.230000,129.233398,163.577148,2401.202148,22.476562,88.105469
21199,0.278810,0.305000,0.451714,0.460000,0.577952,0.580000,0.139381,0.135000,0.155095,0.125000,129.233398,163.272461,2412.791992,22.476562,83.679688
21399,0.279198,0.320000,0.452264,0.510000,0.578255,0.610000,0.139434,0.145000,0.155660,0.215000,129.233398,163.577148,2390.881836,22.132812,72.906250
21599,0.279486,0.310000,0.452523,0.480000,0.577757,0.525000,0.139112,0.105000,0.155561,0.145000,129.233398,163.913086,2451.041992,22.476562,102.210938
